sourceid-year-oa,source_id,source_title,journal_name,issn_print,issn_e,parent_publisher,oa_status,pub_year,n_doi,apc_lower_total,apc_lower,apc_lower_source,apc_upper_total,apc_upper,apc_upper_source,notes
12044_2018_hybrid,12044,International Journal of Philosophical Studies,International Journal of Philosophical Studies,0967-2559,1466-4542,Taylor & Francis,hybrid,2018,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12065_2016_hybrid,12065,International Journal of Production Research,International Journal of Production Research,0020-7543,1366-588X,Taylor & Francis,hybrid,2016,5,14750,2950,Matthias: actual,14750,2950,Matthias: actual,
12065_2017_hybrid,12065,International Journal of Production Research,International Journal of Production Research,0020-7543,1366-588X,Taylor & Francis,hybrid,2017,11,32450,2950,Matthias: actual,32450,2950,Matthias: actual,
12065_2018_hybrid,12065,International Journal of Production Research,International Journal of Production Research,0020-7543,1366-588X,Taylor & Francis,hybrid,2018,7,20650,2950,Matthias: actual,20650,2950,Matthias: actual,
12068_2016_hybrid,12068,International Journal of Psychiatry in Clinical Practice,International Journal of Psychiatry in Clinical Practice,1365-1501,1471-1788,Taylor & Francis,hybrid,2016,2,5900,2950,Matthias: actual,5900,2950,Matthias: actual,
12068_2017_hybrid,12068,International Journal of Psychiatry in Clinical Practice,International Journal of Psychiatry in Clinical Practice,1365-1501,1471-1788,Taylor & Francis,hybrid,2017,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12079_2015_gold,12079,International Journal of Qualitative Studies on Health and Well-being,International Journal of Qualitative Studies on Health and Well-being,1748-2623,1748-2631,Taylor & Francis,gold,2015,61,179950,2950,Matthias: actual,179950,2950,Matthias: actual,
12082_2015_hybrid,12082,International Journal of Radiation Biology,International Journal of Radiation Biology,0955-3002,1362-3095,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12082_2016_hybrid,12082,International Journal of Radiation Biology,International Journal of Radiation Biology,0955-3002,1362-3095,Taylor & Francis,hybrid,2016,6,17700,2950,Matthias: actual,17700,2950,Matthias: actual,
12082_2017_hybrid,12082,International Journal of Radiation Biology,International Journal of Radiation Biology,0955-3002,1362-3095,Taylor & Francis,hybrid,2017,25,73750,2950,Matthias: actual,73750,2950,Matthias: actual,
12082_2018_hybrid,12082,International Journal of Radiation Biology,International Journal of Radiation Biology,0955-3002,1362-3095,Taylor & Francis,hybrid,2018,3,8850,2950,Matthias: actual,8850,2950,Matthias: actual,
12090_2015_hybrid,12090,International Journal of Remote Sensing,International Journal of Remote Sensing,0143-1161,1366-5901,Taylor & Francis,hybrid,2015,3,8850,2950,Matthias: actual,8850,2950,Matthias: actual,
12090_2016_hybrid,12090,International Journal of Remote Sensing,International Journal of Remote Sensing,0143-1161,1366-5901,Taylor & Francis,hybrid,2016,16,47200,2950,Matthias: actual,47200,2950,Matthias: actual,
12090_2017_hybrid,12090,International Journal of Remote Sensing,International Journal of Remote Sensing,0143-1161,1366-5901,Taylor & Francis,hybrid,2017,22,64900,2950,Matthias: actual,64900,2950,Matthias: actual,
12090_2018_hybrid,12090,International Journal of Remote Sensing,International Journal of Remote Sensing,0143-1161,1366-5901,Taylor & Francis,hybrid,2018,23,67850,2950,Matthias: actual,67850,2950,Matthias: actual,
12103_2016_hybrid,12103,International Journal of Science Education,International Journal of Science Education,0950-0693,1464-5289,Taylor & Francis,hybrid,2016,6,17700,2950,Matthias: actual,17700,2950,Matthias: actual,
12103_2017_hybrid,12103,International Journal of Science Education,International Journal of Science Education,0950-0693,1464-5289,Taylor & Francis,hybrid,2017,9,26550,2950,Matthias: actual,26550,2950,Matthias: actual,
12103_2018_hybrid,12103,International Journal of Science Education,International Journal of Science Education,0950-0693,1464-5289,Taylor & Francis,hybrid,2018,7,20650,2950,Matthias: actual,20650,2950,Matthias: actual,
12108_2015_hybrid,12108,International Journal of Sexual Health,International Journal of Sexual Health,1931-7611,1931-762X,Taylor & Francis,hybrid,2015,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
12108_2016_hybrid,12108,International Journal of Sexual Health,International Journal of Sexual Health,1931-7611,1931-762X,Taylor & Francis,hybrid,2016,1,2950,2950,Matthias: actual,2950,2950,Matthias: actual,
